gene name_V4,NU0,NU4,NU8,NU12,NU16,NU20,NU24,NU28,NU32,NU36,NU40,NU44,NU48,NU52,NU56,NU60,NU64,NU68,NU72,NU78,NU84,NU90,NU96,NU102,NU108,NU114,NU120,NU126,NU132,NU138,NU144,em10,em12,em14,em16,em18,em20,em22,em24,em26,em28,em30,em32,em34,em36,em38,en6,en8,en10,en12,en14,en16,en18,en20,en22,en24,en26,en28,en30,en32,en34,en36,en38,s0,s2,s3,s4,s6,s8,s10,s12,s14,s16,s18,s20,s22,s24,s26,s28,s30,s32,s34,s36,s38,Anthers,Cob1,Cob2,Ear1,Ear2,Leaf1,Leaf2,Leaf3,Leaf4,Leaf5,Leaf6,Leaf7,Pollen,Roots,SAM1,SAM2,Shoots,Silk,Tassel1,Tassel2,Tassel3,Tassel4,Tassel5
Zm00001d010812,2.28 ,1.50 ,1.44 ,1.21 ,0.96 ,0.76 ,1.78 ,0.89 ,0.62 ,0.82 ,0.79 ,0.58 ,1.21 ,1.04 ,1.34 ,0.88 ,1.07 ,1.15 ,2.01 ,1.20 ,0.81 ,0.64 ,1.11 ,0.90 ,0.57 ,0.45 ,1.05 ,1.16 ,0.51 ,0.55 ,0.67 ,0.80 ,0.00 ,0.51 ,0.24 ,0.00 ,0.46 ,0.25 ,0.20 ,0.18 ,0.11 ,0.05 ,0.00 ,0.40 ,0.48 ,0.49 ,2.63 ,0.86 ,0.37 ,0.23 ,0.12 ,0.48 ,0.64 ,0.41 ,0.32 ,0.33 ,1.11 ,0.00 ,0.00 ,0.22 ,0.08 ,2.21 ,1.81 ,0.42 ,0.42 ,1.31 ,1.10 ,0.64 ,1.16 ,0.29 ,0.28 ,0.47 ,0.73 ,0.58 ,0.48 ,0.00 ,0.38 ,0.92 ,0.60 ,1.43 ,1.68 ,0.87 ,0.94 ,2.61 ,0.13 ,1.37 ,2.05 ,0.37 ,0.71 ,0.20 ,1.42 ,0.47 ,0.43 ,0.20 ,0.39 ,0.56 ,0.00 ,18.72 ,0.72 ,0.71 ,1.41 ,1.18 ,1.10 ,0.64 ,0.68 ,0.85 ,1.17 
Zm00001d012749,5.58 ,4.78 ,3.26 ,6.74 ,4.96 ,5.18 ,4.32 ,4.35 ,2.94 ,4.25 ,2.89 ,4.16 ,4.99 ,3.99 ,3.68 ,3.64 ,5.32 ,3.41 ,4.87 ,5.06 ,4.29 ,3.09 ,3.30 ,3.85 ,3.50 ,4.24 ,4.91 ,4.60 ,3.92 ,3.72 ,4.37 ,2.24 ,2.77 ,2.32 ,1.90 ,3.40 ,2.22 ,2.54 ,4.53 ,3.30 ,3.12 ,3.96 ,4.25 ,3.79 ,3.98 ,2.74 ,3.48 ,2.91 ,1.51 ,0.78 ,1.12 ,2.65 ,2.19 ,2.33 ,1.83 ,1.33 ,1.61 ,1.75 ,1.80 ,2.25 ,3.61 ,3.25 ,2.70 ,6.42 ,4.55 ,4.34 ,3.31 ,4.03 ,3.34 ,2.94 ,2.00 ,1.41 ,3.26 ,2.59 ,2.41 ,2.59 ,2.56 ,2.96 ,3.14 ,5.92 ,5.71 ,5.42 ,3.83 ,4.67 ,0.76 ,1.92 ,1.68 ,1.57 ,1.46 ,2.82 ,5.99 ,8.86 ,11.52 ,4.81 ,2.69 ,3.04 ,0.08 ,21.17 ,2.08 ,1.61 ,9.36 ,3.93 ,1.58 ,1.80 ,1.93 ,4.47 ,3.56 
Zm00001d021947,45.35 ,33.37 ,30.38 ,35.98 ,34.79 ,49.57 ,28.34 ,35.50 ,26.56 ,32.84 ,27.01 ,31.15 ,30.20 ,29.23 ,29.77 ,30.26 ,30.17 ,29.13 ,32.05 ,32.81 ,31.93 ,30.06 ,29.51 ,34.45 ,31.12 ,30.90 ,32.17 ,25.91 ,30.50 ,34.74 ,32.40 ,24.41 ,27.62 ,21.51 ,24.73 ,29.73 ,26.05 ,25.04 ,21.03 ,16.13 ,18.27 ,17.52 ,18.58 ,18.73 ,19.62 ,18.30 ,27.06 ,23.60 ,13.94 ,14.76 ,14.29 ,14.54 ,22.10 ,18.94 ,10.98 ,19.32 ,17.07 ,11.83 ,15.72 ,15.73 ,18.37 ,18.02 ,15.94 ,39.59 ,36.33 ,42.32 ,33.91 ,38.75 ,32.97 ,21.68 ,19.82 ,18.50 ,20.29 ,23.16 ,24.09 ,15.72 ,16.57 ,24.36 ,19.83 ,18.21 ,25.64 ,20.06 ,23.38 ,20.70 ,1.29 ,42.45 ,42.68 ,47.95 ,48.67 ,12.12 ,7.71 ,8.05 ,5.56 ,15.34 ,25.99 ,26.05 ,0.08 ,25.04 ,25.81 ,25.58 ,19.78 ,13.68 ,43.45 ,45.44 ,44.80 ,13.49 ,9.67 
Zm00001d006702,27.67 ,27.00 ,23.72 ,26.69 ,26.44 ,26.34 ,25.33 ,22.57 ,21.69 ,23.24 ,20.96 ,24.95 ,21.51 ,21.49 ,22.65 ,23.74 ,23.33 ,21.31 ,23.90 ,24.22 ,25.12 ,22.34 ,23.70 ,25.98 ,24.29 ,25.98 ,24.37 ,20.61 ,24.78 ,25.77 ,26.95 ,22.87 ,19.11 ,19.03 ,19.64 ,23.85 ,20.64 ,18.32 ,16.47 ,10.61 ,9.34 ,13.89 ,12.71 ,10.57 ,10.93 ,10.04 ,20.89 ,16.47 ,10.76 ,10.48 ,10.40 ,11.88 ,13.84 ,14.84 ,7.50 ,9.96 ,10.66 ,4.52 ,7.96 ,8.56 ,12.02 ,9.81 ,8.17 ,27.66 ,26.99 ,30.52 ,22.74 ,30.03 ,27.07 ,17.27 ,15.50 ,13.07 ,17.49 ,16.19 ,17.45 ,13.63 ,12.15 ,15.93 ,11.08 ,12.00 ,15.93 ,10.51 ,14.83 ,10.34 ,2.59 ,31.13 ,36.10 ,33.90 ,33.07 ,16.27 ,8.83 ,7.31 ,4.13 ,10.11 ,26.20 ,26.98 ,0.65 ,19.94 ,22.97 ,23.57 ,16.01 ,15.52 ,40.83 ,43.37 ,42.75 ,17.43 ,13.98 
Zm00001d050247,1.23 ,0.67 ,0.07 ,1.24 ,0.32 ,0.31 ,1.14 ,0.06 ,0.29 ,0.13 ,0.11 ,0.00 ,0.14 ,0.25 ,0.49 ,0.00 ,0.49 ,0.20 ,0.39 ,0.02 ,0.05 ,0.00 ,0.08 ,0.10 ,0.14 ,0.56 ,0.78 ,0.44 ,0.36 ,1.00 ,0.77 ,0.20 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.18 ,0.21 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.23 ,0.00 ,0.00 ,0.18 ,0.70 ,0.59 ,0.35 ,1.26 ,0.11 ,0.00 ,0.13 ,0.00 ,0.28 ,0.19 ,0.00 ,0.16 ,0.52 ,0.10 ,1.48 ,0.08 ,0.00 ,0.00 ,0.35 ,0.07 ,0.27 ,2.37 ,0.07 ,0.18 ,0.00 ,0.40 ,2.00 ,2.69 ,1.89 ,0.06 ,0.36 ,0.00 ,16.88 ,0.30 ,0.29 ,2.69 ,0.00 ,0.81 ,0.61 ,1.21 ,0.77 ,1.86 
Zm00001d024376,1.44 ,0.39 ,0.54 ,1.49 ,1.31 ,1.12 ,1.81 ,1.16 ,0.50 ,0.94 ,0.97 ,0.54 ,1.10 ,0.70 ,0.76 ,0.57 ,2.73 ,1.10 ,0.95 ,0.82 ,1.10 ,0.50 ,0.95 ,0.77 ,0.81 ,0.93 ,0.96 ,1.15 ,1.50 ,2.02 ,1.43 ,0.31 ,0.00 ,0.00 ,0.09 ,0.00 ,0.00 ,0.16 ,0.16 ,0.56 ,1.06 ,0.00 ,0.00 ,0.37 ,0.09 ,0.38 ,1.10 ,0.17 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.09 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.13 ,0.24 ,0.00 ,0.28 ,0.56 ,0.73 ,0.49 ,0.18 ,0.65 ,0.23 ,0.00 ,0.14 ,0.14 ,0.07 ,0.07 ,0.00 ,0.17 ,0.00 ,0.00 ,0.47 ,0.00 ,0.27 ,0.00 ,0.60 ,0.21 ,3.07 ,1.61 ,1.23 ,1.98 ,11.73 ,5.81 ,2.59 ,0.96 ,2.07 ,6.71 ,8.45 ,0.00 ,3.63 ,4.86 ,4.46 ,1.62 ,1.84 ,1.67 ,1.95 ,1.38 ,0.89 ,2.90 
Zm00001d034073,1.41 ,0.37 ,0.26 ,1.94 ,0.66 ,1.43 ,2.29 ,0.65 ,0.54 ,0.71 ,0.40 ,0.45 ,0.95 ,0.38 ,0.68 ,0.52 ,1.38 ,0.36 ,1.27 ,0.80 ,0.74 ,0.46 ,0.32 ,0.41 ,0.70 ,0.64 ,0.88 ,1.78 ,0.68 ,1.08 ,1.23 ,1.19 ,1.31 ,0.46 ,0.30 ,0.00 ,0.19 ,0.52 ,0.58 ,1.37 ,2.01 ,0.61 ,0.73 ,2.64 ,2.55 ,5.11 ,0.83 ,0.66 ,0.73 ,1.46 ,2.63 ,1.75 ,2.17 ,3.15 ,2.55 ,1.30 ,1.97 ,0.80 ,1.04 ,1.51 ,2.26 ,4.56 ,3.76 ,3.46 ,3.75 ,7.44 ,8.06 ,7.59 ,4.04 ,4.57 ,3.77 ,3.40 ,3.61 ,2.07 ,1.88 ,3.09 ,1.64 ,4.10 ,1.35 ,5.25 ,5.05 ,2.66 ,0.37 ,2.93 ,0.67 ,1.04 ,2.74 ,0.13 ,0.29 ,0.45 ,0.17 ,0.95 ,5.53 ,0.71 ,0.51 ,0.43 ,0.00 ,13.07 ,0.95 ,0.54 ,4.47 ,4.11 ,0.27 ,0.46 ,0.15 ,3.21 ,2.68 
Zm00001d016793,21.50 ,17.72 ,11.79 ,20.65 ,13.77 ,20.17 ,16.69 ,18.89 ,13.52 ,16.10 ,10.98 ,16.51 ,17.23 ,12.38 ,12.96 ,16.45 ,17.94 ,15.68 ,20.55 ,22.91 ,16.28 ,14.94 ,15.61 ,20.35 ,16.72 ,15.68 ,20.73 ,16.30 ,14.77 ,14.04 ,17.87 ,9.42 ,11.33 ,11.62 ,9.66 ,14.06 ,14.81 ,11.67 ,12.56 ,12.51 ,11.33 ,15.11 ,15.35 ,15.95 ,20.29 ,15.40 ,9.84 ,11.68 ,11.35 ,7.61 ,8.99 ,9.46 ,10.37 ,9.76 ,10.17 ,7.35 ,7.19 ,4.67 ,6.33 ,6.09 ,9.45 ,9.50 ,8.97 ,22.67 ,21.93 ,21.25 ,17.20 ,19.38 ,16.00 ,14.10 ,13.02 ,9.93 ,15.87 ,12.36 ,10.30 ,14.10 ,7.44 ,12.03 ,11.46 ,12.77 ,18.96 ,14.26 ,11.72 ,16.21 ,3.05 ,11.40 ,14.88 ,8.01 ,7.98 ,16.02 ,41.51 ,50.03 ,50.83 ,44.59 ,12.20 ,12.48 ,0.08 ,42.03 ,9.51 ,5.27 ,56.78 ,10.14 ,7.80 ,7.39 ,7.01 ,17.36 ,13.69 
Zm00001d033262,22.80 ,9.84 ,7.04 ,26.55 ,11.52 ,18.05 ,17.05 ,20.37 ,7.94 ,15.56 ,7.50 ,11.92 ,11.39 ,12.17 ,11.84 ,12.72 ,17.32 ,16.48 ,16.80 ,14.16 ,13.34 ,11.88 ,11.82 ,14.71 ,15.49 ,12.14 ,21.82 ,11.36 ,13.93 ,16.23 ,13.77 ,12.07 ,15.03 ,9.78 ,8.23 ,9.25 ,10.08 ,13.82 ,12.77 ,12.79 ,18.01 ,12.53 ,15.86 ,14.12 ,23.85 ,23.00 ,11.33 ,17.87 ,7.90 ,5.96 ,3.90 ,6.77 ,9.48 ,5.25 ,7.24 ,4.32 ,6.73 ,7.74 ,6.66 ,11.45 ,14.60 ,14.05 ,20.79 ,29.95 ,22.50 ,23.84 ,21.18 ,22.42 ,18.88 ,12.56 ,9.22 ,7.55 ,9.66 ,9.38 ,10.64 ,16.10 ,7.36 ,13.18 ,15.73 ,18.82 ,35.93 ,16.47 ,16.52 ,17.10 ,67.12 ,7.40 ,9.09 ,8.54 ,7.30 ,13.16 ,50.22 ,21.47 ,20.28 ,31.30 ,12.48 ,12.61 ,28.19 ,40.26 ,6.67 ,6.17 ,26.20 ,13.80 ,6.64 ,6.83 ,6.51 ,32.53 ,42.13 
Zm00001d021389,11.38 ,8.96 ,9.05 ,12.58 ,8.27 ,13.65 ,12.76 ,12.86 ,9.37 ,11.41 ,6.45 ,11.61 ,11.75 ,11.93 ,10.05 ,12.92 ,14.62 ,9.82 ,12.30 ,12.90 ,9.60 ,10.52 ,8.87 ,10.84 ,7.98 ,8.40 ,10.74 ,9.71 ,10.33 ,12.43 ,8.93 ,8.20 ,5.29 ,6.79 ,5.79 ,2.65 ,9.25 ,9.85 ,6.58 ,7.42 ,9.72 ,8.93 ,11.93 ,10.18 ,10.50 ,8.70 ,11.47 ,6.45 ,8.08 ,5.20 ,5.40 ,4.48 ,5.68 ,6.16 ,5.66 ,4.20 ,4.01 ,2.85 ,3.10 ,6.56 ,7.29 ,9.07 ,13.62 ,5.90 ,15.69 ,10.49 ,9.09 ,14.49 ,11.25 ,10.54 ,8.21 ,6.90 ,10.31 ,9.16 ,8.62 ,5.19 ,7.04 ,8.51 ,9.40 ,13.08 ,16.90 ,9.42 ,8.52 ,10.18 ,4.09 ,5.59 ,7.74 ,3.81 ,5.96 ,16.46 ,8.57 ,19.24 ,17.32 ,13.83 ,10.21 ,13.98 ,0.00 ,171.90 ,3.96 ,4.33 ,39.84 ,4.51 ,7.90 ,7.91 ,8.31 ,10.69 ,8.62 
